vintage,state_fips,measure,cut,wage_bill_usd,share_of_bill_scored,share_of_bill_exposed,occupations
2019,38,eloundou_beta,0.4782608695652174,20601530100.0,0.8959472335503856,0.30205759935460424,515
2019,39,eloundou_beta,0.4782608695652174,267764542200.0,0.8796243997238257,0.36616776158697745,725
2019,40,eloundou_beta,0.4782608695652174,72058674300.0,0.9118163224382273,0.3496195895952305,665
2019,41,eloundou_beta,0.4782608695652174,100984543600.0,0.8628030993051892,0.35716250632166197,678
2019,42,eloundou_beta,0.4782608695652174,301395693400.0,0.8839844408340839,0.3733219674328859,730
2019,44,eloundou_beta,0.4782608695652174,25918976800.0,0.8760191914674657,0.38907027330898825,463
2019,45,eloundou_beta,0.4782608695652174,92523030300.0,0.9077366297631952,0.3371503547180737,647
2019,46,eloundou_beta,0.4782608695652174,17849673500.0,0.9184901897505297,0.32275802924716757,522
2019,47,eloundou_beta,0.4782608695652174,135713494400.0,0.883114267522685,0.35390826812844484,705
2019,48,eloundou_beta,0.4782608695652174,623837321900.0,0.8854309465129165,0.38367748775646976,746
2019,49,eloundou_beta,0.4782608695652174,72908521800.0,0.8836502854457817,0.3937887731619929,657
2019,50,eloundou_beta,0.4782608695652174,14311520100.0,0.8830551829361578,0.3352673339841818,473
2019,51,eloundou_beta,0.4782608695652174,212901713900.0,0.8562592567273832,0.41827868843470906,635
2019,53,eloundou_beta,0.4782608695652174,202303672200.0,0.8363913055059216,0.3773475295423025,701
2019,54,eloundou_beta,0.4782608695652174,29642622400.0,0.8952451959850893,0.28192854561838204,591
2019,55,eloundou_beta,0.4782608695652174,138606513800.0,0.8716467732124722,0.3505678119631593,674
2019,56,eloundou_beta,0.4782608695652174,13338848900.0,0.9074617450685718,0.25115116945274324,491
2019,66,eloundou_beta,0.4782608695652174,1980474300.0,0.8890775305693187,0.33398926803071705,231
2019,72,eloundou_beta,0.4782608695652174,25007627400.0,0.8810288776135556,0.37979581373592547,518
2019,78,eloundou_beta,0.4782608695652174,1205957700.0,0.9119232789010758,0.29772603710564916,146
2020,01,eloundou_beta,0.4782608695652174,88099014400.0,0.8998715166102925,0.3499765836697345,675
2020,02,eloundou_beta,0.4782608695652174,17493410600.0,0.8796112977534524,0.3210668330122741,461
2020,04,eloundou_beta,0.4782608695652174,149355644700.0,0.8699964327494881,0.39007035647170174,653
2020,05,eloundou_beta,0.4782608695652174,51668069700.0,0.8849083460147148,0.3158443592915676,606
2020,06,eloundou_beta,0.4782608695652174,1069148979400.0,0.838263711389369,0.38721324319338163,745
2020,08,eloundou_beta,0.4782608695652174,154840284300.0,0.8485710988842456,0.4187101969158169,679
2020,09,eloundou_beta,0.4782608695652174,97999843100.0,0.8701487819014682,0.4014477744335128,613
2020,10,eloundou_beta,0.4782608695652174,21334926200.0,0.860290325260183,0.4054844608958983,430
2020,11,eloundou_beta,0.4782608695652174,62780116400.0,0.7825072907956571,0.48581751342939294,418
2020,12,eloundou_beta,0.4782608695652174,413973437500.0,0.8829173905632532,0.382769798148108,726
2020,13,eloundou_beta,0.4782608695652174,213269750900.0,0.8548000221816736,0.3951012129270215,681
2020,15,eloundou_beta,0.4782608695652174,31815021300.0,0.883625075555112,0.3108618824504668,496
2020,16,eloundou_beta,0.4782608695652174,32628892800.0,0.8865759122540622,0.3364556011467703,571
2020,17,eloundou_beta,0.4782608695652174,324057100400.0,0.8785682302550158,0.3748126260113611,707
2020,18,eloundou_beta,0.4782608695652174,138136085000.0,0.8830209137605137,0.32223079715027053,680
2020,19,eloundou_beta,0.4782608695652174,71025028500.0,0.884683849158892,0.3401838521837289,651
2020,20,eloundou_beta,0.4782608695652174,63483492000.0,0.8802598540105513,0.37182991800571724,622
2020,21,eloundou_beta,0.4782608695652174,79906413800.0,0.8796616573975192,0.3236865808661858,645
2020,22,eloundou_beta,0.4782608695652174,80010858400.0,0.8730720966743184,0.3005028874859952,656
2020,23,eloundou_beta,0.4782608695652174,28892979300.0,0.8665624939550627,0.3373273747364371,569
2020,24,eloundou_beta,0.4782608695652174,155024277900.0,0.8435005385695139,0.4233795836192484,660
2020,25,eloundou_beta,0.4782608695652174,231881480600.0,0.8600162241675802,0.4067269461105361,678
2020,26,eloundou_beta,0.4782608695652174,206722114100.0,0.8729736423491811,0.3681321814803978,688
2020,27,eloundou_beta,0.4782608695652174,156573080100.0,0.8527045339769106,0.39033476099477193,682
