cip_code,destinations,link,eloundou_beta,felten_aioe
05.0200,1,nces_crosswalk,0.5,1.308699
05.0201,1,nces_crosswalk,0.5,1.308699
05.0202,1,nces_crosswalk,0.5,1.308699
05.0203,1,nces_crosswalk,0.5,1.308699
05.0206,1,nces_crosswalk,0.5,1.308699
05.0207,1,nces_crosswalk,0.5,1.308699
05.0208,1,nces_crosswalk,0.5,1.308699
05.0209,1,nces_crosswalk,0.5,1.308699
05.0210,1,nces_crosswalk,0.5,1.308699
05.0211,2,nces_crosswalk,0.8141618389780154,1.1465209255050504
05.0212,1,nces_crosswalk,0.5,1.308699
05.0299,1,nces_crosswalk,0.5,1.308699
05.9999,1,nces_crosswalk,0.5,1.308699
09.0100,9,nces_crosswalk,0.5926872926119107,1.2152809213353628
09.0101,6,nces_crosswalk,0.6027872607924744,1.2282467258599925
09.0102,5,nces_crosswalk,0.6369852579071077,1.1265859848920436
09.0199,1,nces_crosswalk,,
09.0401,5,nces_crosswalk,0.6744019821411862,1.1308536442204686
09.0402,5,nces_crosswalk,0.6680965225076132,1.0956416762520362
09.0404,3,nces_crosswalk,0.504570547430795,0.21381982709060357
09.0405,2,nces_crosswalk,0.55779531597242,1.347435
09.0406,2,nces_crosswalk,0.55779531597242,1.347435
09.0407,2,nces_crosswalk,0.55779531597242,1.347435
09.0499,2,nces_crosswalk,0.55779531597242,1.347435
09.0701,5,nces_crosswalk,0.5123645258828183,0.9904206640867861
09.0702,4,nces_crosswalk,0.5300082790954482,0.9819681506852257
09.0799,1,nces_crosswalk,,
09.0900,6,nces_crosswalk,0.5485692661165348,1.278950123576834
09.0901,3,nces_crosswalk,0.5256826432394857,1.2411254110259833
09.0902,6,nces_crosswalk,0.5485692661165348,1.278950123576834
09.0903,2,nces_crosswalk,0.4482341851279116,1.325054560620947
09.0904,5,nces_crosswalk,0.5582338259802693,1.2781681545866366
09.0905,4,nces_crosswalk,0.5273883424214282,1.025759770519141
09.0906,6,nces_crosswalk,0.5818183478882132,1.255667395626839
09.0907,4,nces_crosswalk,0.5733808956379154,1.290806109207161
09.0908,3,nces_crosswalk,0.6217206396758749,1.182162935538083
09.0909,2,nces_crosswalk,0.55426821221186,
09.0999,1,nces_crosswalk,,
09.1001,1,nces_crosswalk,0.6428571428571429,1.128221
09.9999,3,nces_crosswalk,0.6724778218065514,1.1265859848920436
10.0105,4,nces_crosswalk,0.48437649307214525,0.5684272275083612
10.0201,2,nces_crosswalk,0.4460351691019144,-0.0117747
10.0202,4,nces_crosswalk,0.4429020344693534,0.2664604440310532
10.0203,3,nces_crosswalk,0.4916059410817035,0.06410859578682032
10.0204,1,nces_crosswalk,0.9642857142857143,
10.0299,3,nces_crosswalk,0.4802713490552219,0.2664604440310532
10.0301,1,nces_crosswalk,0.44,0.4107972999999999
10.0302,2,nces_crosswalk,0.34224214365155314,-0.550523020071386
10.0303,2,nces_crosswalk,0.4645045155490172,0.40253959312247145
10.0304,1,nces_crosswalk,0.5357142857142857,0.7058651
10.0305,3,nces_crosswalk,0.553665235950356,-0.17970535377058067
10.0306,1,nces_crosswalk,0.44,0.4107972999999999
10.0307,2,nces_crosswalk,0.34224214365155314,-0.550523020071386
10.0308,2,nces_crosswalk,0.4645045155490172,0.40253959312247145
10.0399,3,nces_crosswalk,0.33230065973552886,-0.5544453785840204
10.9999,1,nces_crosswalk,,
11.0101,11,nces_crosswalk,0.6664197905300839,1.0708040360456057
11.0102,4,nces_crosswalk,0.834454209581918,1.277778
11.0103,9,nces_crosswalk,0.7387422914510712,1.059853
11.0104,4,nces_crosswalk,0.8572198718676555,
11.0105,1,nces_crosswalk,0.7592592592592593,
11.0199,2,nces_crosswalk,0.5511832691249312,1.277778
11.0201,7,nces_crosswalk,0.8474757552435003,1.277778
11.0202,3,nces_crosswalk,0.871666132689669,
11.0203,3,nces_crosswalk,0.871666132689669,
11.0204,3,nces_crosswalk,0.871666132689669,
11.0205,3,nces_crosswalk,0.871666132689669,
11.0299,1,nces_crosswalk,0.9411764705882353,
11.0301,1,nces_crosswalk,0.7372093023255814,
11.0401,7,nces_crosswalk,0.7640306941039036,1.0708040360456057
11.0501,6,nces_crosswalk,0.6825801742651796,1.277778
11.0601,1,nces_crosswalk,0.8333333333333334,0.3108081
11.0602,1,nces_crosswalk,0.75,0.6219606
11.0699,1,nces_crosswalk,,
11.0701,13,nces_crosswalk,0.7599106644503327,1.0708040360456057
11.0801,5,nces_crosswalk,0.6170854946013886,0.5248199186405953
11.0802,5,nces_crosswalk,0.6084256150776634,0.9293168925485547
11.0803,3,nces_crosswalk,0.6006747306389711,0.5132296375873565
11.0804,6,nces_crosswalk,0.8362700299710021,1.0718068437691615
11.0899,1,nces_crosswalk,,
11.0901,6,nces_crosswalk,0.5893916036155513,1.0708040360456057
11.0902,7,nces_crosswalk,0.8287731730592315,1.277778
