vintage,state_fips,soc_code,employment,wage,bill
2024,01,39-4021,540.0,29320.0,15832800.0
2024,01,39-4031,480.0,49160.0,23596800.0
2024,01,39-5011,90.0,27640.0,2487600.0
2024,01,39-5012,3170.0,32020.0,101503400.0
2024,01,39-5092,850.0,30850.0,26222500.0
2024,01,39-5093,180.0,21210.0,3817800.0
2024,01,39-5094,730.0,41550.0,30331500.0
2024,01,39-6011,60.0,24740.0,1484400.0
2024,01,39-6012,130.0,30840.0,4009200.0
2024,01,39-7010,430.0,31820.0,13682600.0
2024,01,39-9011,4880.0,24500.0,119560000.0
2024,01,39-9031,2800.0,37990.0,106372000.0
2024,01,39-9032,4640.0,29380.0,136323200.0
2024,01,39-9041,2050.0,28470.0,58363500.0
2024,01,41-1011,24440.0,47890.0,1170431600.0
2024,01,41-1012,1990.0,74840.0,148931600.0
2024,01,41-2011,48790.0,26170.0,1276834300.0
2024,01,41-2021,7460.0,34010.0,253714600.0
2024,01,41-2022,5000.0,36150.0,180750000.0
2024,01,41-2031,60330.0,32840.0,1981237200.0
2024,01,41-3011,970.0,49990.0,48490300.0
2024,01,41-3021,7900.0,91730.0,724667000.0
2024,01,41-3031,3870.0,77310.0,299189700.0
2024,01,41-3041,510.0,51620.0,26326200.0
2024,01,41-3091,11650.0,67560.0,787074000.0
2024,01,41-4012,19250.0,73110.0,1407367500.0
2024,01,41-9021,450.0,76640.0,34488000.0
2024,01,41-9022,1880.0,55450.0,104246000.0
2024,01,41-9031,340.0,100230.0,34078200.0
2024,01,41-9041,1290.0,31690.0,40880100.0
2024,01,41-9099,260.0,62420.0,16229200.0
2024,01,43-1011,20460.0,62690.0,1282637400.0
2024,01,43-2011,820.0,32140.0,26354800.0
2024,01,43-3011,2130.0,43460.0,92569800.0
2024,01,43-3021,4750.0,40280.0,191330000.0
2024,01,43-3031,18550.0,42950.0,796722500.0
2024,01,43-3051,1510.0,46580.0,70335800.0
2024,01,43-3061,320.0,49670.0,15894400.0
2024,01,43-3071,6820.0,36700.0,250294000.0
2024,01,43-3099,60.0,49630.0,2977800.0
2024,01,43-4011,210.0,70450.0,14794500.0
2024,01,43-4031,2140.0,40000.0,85600000.0
2024,01,43-4051,33720.0,39920.0,1346102400.0
2024,01,43-4061,2570.0,51780.0,133074600.0
2024,01,43-4071,180.0,39410.0,7093800.0
2024,01,43-4081,3840.0,27820.0,106828800.0
2024,01,43-4111,2940.0,34310.0,100871400.0
2024,01,43-4121,750.0,28550.0,21412500.0
2024,01,43-4131,2570.0,42930.0,110330100.0
2024,01,43-4141,70.0,40490.0,2834300.0
2024,01,43-4151,140.0,45190.0,6326600.0
2024,01,43-4161,770.0,42740.0,32909800.0
2024,01,43-4171,10620.0,31740.0,337078800.0
2024,01,43-4181,180.0,42550.0,7659000.0
2024,01,43-4199,800.0,52520.0,42016000.0
2024,01,43-5011,950.0,57030.0,54178500.0
2024,01,43-5021,1020.0,32730.0,33384600.0
2024,01,43-5031,2330.0,40110.0,93456300.0
2024,01,43-5032,1630.0,46590.0,75941700.0
2024,01,43-5041,430.0,50040.0,21517200.0
2024,01,43-5051,1270.0,60280.0,76555600.0
2024,01,43-5052,5940.0,59310.0,352301400.0
2024,01,43-5053,1220.0,57030.0,69576600.0
2024,01,43-5061,2960.0,58620.0,173515200.0
2024,01,43-5071,7950.0,41970.0,333661500.0
2024,01,43-5111,620.0,44480.0,27577600.0
2024,01,43-6011,3040.0,70050.0,212952000.0
2024,01,43-6012,1920.0,43620.0,83750400.0
2024,01,43-6013,14900.0,37400.0,557260000.0
2024,01,43-6014,42180.0,41860.0,1765654800.0
2024,01,43-9021,1110.0,35050.0,38905500.0
2024,01,43-9022,80.0,47720.0,3817600.0
2024,01,43-9041,2540.0,41800.0,106172000.0
2024,01,43-9051,420.0,35910.0,15082200.0
