platform,release,bundle_id,bundle,usage_share_on_bundle,wage_bill_share_on_bundle,concentration,reach_usd_on_bundle,reach_share_of_bundle_bill
openai,2026-06 (dollar allocation),2.C.7,Arts and Humanities,0.025510674890088982,0.023094883710640942,1.1046028726412234,144348578581.80225,0.6303377912805026
openai,2026-06 (dollar allocation),2.C.8,Law and Public Safety,0.012319048468999588,0.012404120066777557,0.9931416660496685,75527057106.76509,0.6140634032024107
openai,2026-06 (dollar allocation),2.C.9,Communications,0.01235698295238013,0.010911340631389068,1.1324898900903457,69182445406.98251,0.6394320624706819
openai,2026-06 (dollar allocation),4.A.1,Information Input,0.01061568518968561,0.010949780138637987,0.969488433126299,55914955175.2771,0.514990473960148
openai,2026-06 (dollar allocation),4.A.2,Mental Processes,0.03355219489846862,0.01884688509575884,1.7802514700967191,161991118966.18616,0.8668186289849227
openai,2026-06 (dollar allocation),4.A.3,Work Output,0.0980170140706785,0.10442666279209352,0.9386205730410423,594013866921.0701,0.5736695492714844
openai,2026-06 (dollar allocation),4.A.4,Interacting With Others,0.1681049155596248,0.17483586750862107,0.9615013095143973,1084034050423.1908,0.6253008296468279
openai,2026-06 (equal allocation),1.A.1,Cognitive Abilities,0.2250111886401165,0.18533835338524143,1.2140562626690208,1273268601207.1392,0.6928374314163838
openai,2026-06 (equal allocation),1.A.2,Psychomotor Abilities,0.016557418831966268,0.036075229739033765,0.45896918610752385,132048056512.4566,0.3691471517256901
openai,2026-06 (equal allocation),1.A.3,Physical Abilities,0.011988997540200271,0.03339455611856244,0.35901053745512007,142652898900.84045,0.43080579843955624
openai,2026-06 (equal allocation),1.A.4,Sensory Abilities,0.0367923305716394,0.041981601521423315,0.8763917820730156,241263333211.5568,0.5795740542383787
openai,2026-06 (equal allocation),2.A.1,Content,0.09259642419705147,0.0784580888627539,1.1802023926306648,549299577768.9579,0.706070641454898
openai,2026-06 (equal allocation),2.A.2,Process,0.036993191631701894,0.033593715890568275,1.1011937992274339,206192375410.41888,0.6190007434421013
openai,2026-06 (equal allocation),2.B.1,Social Skills,0.013914653818578803,0.02350941836566561,0.5918757156025815,138052703996.80878,0.5922153317398269
openai,2026-06 (equal allocation),2.B.2,Complex Problem Solving Skills,0.006696401159251702,0.0036620040938396357,1.8286165137053358,27083734667.911327,0.7458754943848009
openai,2026-06 (equal allocation),2.B.3,Technical Skills,0.053316682201699835,0.06297097473737243,0.8466866270382997,324416206066.74396,0.5195636258316432
openai,2026-06 (equal allocation),2.B.4,Systems Skills,0.01223240511545741,0.006975006404167913,1.7537482271196108,59419844161.29338,0.8591391533090631
openai,2026-06 (equal allocation),2.B.5,Resource Management Skills,0.0037153938633590674,0.00788471478073551,0.4712147448169944,40341590637.21599,0.5159928026579568
openai,2026-06 (equal allocation),2.C.1,Business and Management,0.04014295699705775,0.04088972531240295,0.9817370180494049,257166303530.42224,0.6342733775283348
openai,2026-06 (equal allocation),2.C.10,Transportation,0.004722199507367559,0.004863480852904913,0.9709505702170148,28853118859.252823,0.5983043605673748
openai,2026-06 (equal allocation),2.C.2,Manufacturing and Production,0.008411803665718958,0.008916299431466632,0.9434187053019719,53627778199.74976,0.60657118227524
openai,2026-06 (equal allocation),2.C.3,Engineering and Technology,0.0272187993693417,0.0259803340509516,1.0476693377368156,157554953598.0698,0.611595026384448
openai,2026-06 (equal allocation),2.C.4,Mathematics and Science,0.03569759730144783,0.03427051135770753,1.0416418047820972,209486792936.9738,0.6164710366393207
openai,2026-06 (equal allocation),2.C.5,Health Services,0.00818987542794866,0.008689915658773785,0.9424574126539124,52576298833.508934,0.6101702971745242
openai,2026-06 (equal allocation),2.C.6,Education and Training,0.0075410652933909725,0.007076529492509395,1.0656445792211133,43798197966.31565,0.624183860537567
openai,2026-06 (equal allocation),2.C.7,Arts and Humanities,0.02634116659046238,0.023094883710640942,1.1405628588779477,144348578581.80225,0.6303377912805026
openai,2026-06 (equal allocation),2.C.8,Law and Public Safety,0.012369579274138525,0.012404120066777557,0.9972153774348296,75527057106.76509,0.6140634032024107
openai,2026-06 (equal allocation),2.C.9,Communications,0.012437190553652932,0.010911340631389068,1.1398407376151738,69182445406.98251,0.6394320624706819
openai,2026-06 (equal allocation),4.A.1,Information Input,0.010225341176824361,0.010949780138637987,0.9338398622948298,55914955175.2771,0.514990473960148
openai,2026-06 (equal allocation),4.A.2,Mental Processes,0.03320518634508541,0.01884688509575884,1.761839485749168,161991118966.18616,0.8668186289849227
openai,2026-06 (equal allocation),4.A.3,Work Output,0.1030301203700123,0.10442666279209352,0.9866265723260578,594013866921.0701,0.5736695492714844
openai,2026-06 (equal allocation),4.A.4,Interacting With Others,0.16065203055652816,0.17483586750862107,0.9188734145103635,1084034050423.1908,0.6253008296468279
