year,state,award_level,awards_unexposed,awards_exposed,share_exposed
2023,NE,5,8386.0,5210.0,0.38320094145336864
2023,NE,6,416.0,141.0,0.25314183123877915
2023,NE,7,2815.0,2335.0,0.4533980582524272
2023,NE,8,116.0,0.0,0.0
2023,NE,17,334.0,172.0,0.33992094861660077
2023,NE,18,1348.0,0.0,0.0
2023,NE,19,54.0,0.0,0.0
2023,NE,20,45.0,0.0,0.0
2023,NE,21,1732.0,696.0,0.28665568369028005
2023,NH,2,512.0,138.0,0.2123076923076923
2023,NH,3,1722.0,2275.0,0.5691768826619965
2023,NH,4,0.0,0.0,
2023,NH,5,12417.0,13736.0,0.5252169923144573
2023,NH,6,336.0,532.0,0.6129032258064516
2023,NH,7,5362.0,7326.0,0.5773959646910467
2023,NH,8,206.0,0.0,0.0
2023,NH,17,173.0,68.0,0.2821576763485477
2023,NH,18,394.0,4.0,0.010050251256281407
2023,NH,20,19.0,0.0,0.0
2023,NH,21,635.0,622.0,0.49482895783611774
2023,NJ,2,7333.0,493.0,0.06299514439049322
2023,NJ,3,7974.0,4163.0,0.3430007415341518
2023,NJ,4,1228.0,0.0,0.0
2023,NJ,5,23672.0,16850.0,0.4158235032821677
2023,NJ,6,450.0,597.0,0.5702005730659025
2023,NJ,7,9253.0,8972.0,0.49229080932784636
2023,NJ,8,391.0,418.0,0.5166872682323856
2023,NJ,17,1116.0,667.0,0.3740886146943354
2023,NJ,18,2032.0,20.0,0.009746588693957114
2023,NJ,19,0.0,0.0,
2023,NJ,20,329.0,8.0,0.02373887240356083
2023,NJ,21,3317.0,779.0,0.190185546875
2023,NM,2,2143.0,496.0,0.18794998105342933
2023,NM,3,3049.0,1146.0,0.2731823599523242
2023,NM,4,28.0,0.0,0.0
2023,NM,5,4967.0,1968.0,0.28377793799567413
2023,NM,6,224.0,36.0,0.13846153846153847
2023,NM,7,1984.0,1453.0,0.4227524003491417
2023,NM,8,88.0,3.0,0.03296703296703297
2023,NM,17,150.0,142.0,0.4863013698630137
2023,NM,18,446.0,0.0,0.0
2023,NM,20,713.0,35.0,0.04679144385026738
2023,NM,21,3286.0,378.0,0.10316593886462883
2023,NV,2,2841.0,415.0,0.12745700245700245
2023,NV,3,2854.0,1727.0,0.3769919231608819
2023,NV,4,159.0,0.0,0.0
2023,NV,5,7218.0,2836.0,0.28207678535906106
2023,NV,6,83.0,26.0,0.23853211009174313
2023,NV,7,1611.0,833.0,0.34083469721767595
2023,NV,8,40.0,0.0,0.0
2023,NV,17,291.0,151.0,0.3416289592760181
2023,NV,18,836.0,0.0,0.0
2023,NV,20,1918.0,329.0,0.14641744548286603
2023,NV,21,3984.0,300.0,0.0700280112044818
2023,NY,2,9563.0,1624.0,0.14516849915080005
2023,NY,3,21580.0,12935.0,0.3747645951035782
2023,NY,4,1223.0,65.0,0.05046583850931677
2023,NY,5,72711.0,54324.0,0.42763018065887354
2023,NY,6,1503.0,990.0,0.3971119133574007
2023,NY,7,45165.0,33403.0,0.4251476428062315
2023,NY,8,4777.0,640.0,0.11814657559534798
2023,NY,17,2893.0,2059.0,0.41579159935379645
2023,NY,18,10204.0,12.0,0.0011746280344557558
2023,NY,19,68.0,2.0,0.02857142857142857
2023,NY,20,1811.0,95.0,0.049842602308499476
2023,NY,21,6241.0,738.0,0.10574580885513683
2023,OH,2,9915.0,5554.0,0.3590406619690995
2023,OH,3,14789.0,7972.0,0.3502482316242696
2023,OH,4,798.0,0.0,0.0
2023,OH,5,40758.0,24300.0,0.37351286544314305
2023,OH,6,1157.0,955.0,0.4521780303030303
2023,OH,7,13984.0,10098.0,0.41931733244747116
2023,OH,8,423.0,2.0,0.004705882352941176
2023,OH,17,1498.0,822.0,0.3543103448275862
2023,OH,18,4335.0,0.0,0.0
2023,OH,19,25.0,2.0,0.07407407407407407
2023,OH,20,6712.0,3818.0,0.36258309591642923
2023,OH,21,8802.0,4381.0,0.3323219297580217
2023,OK,2,7654.0,1745.0,0.18565804872858815
2023,OK,3,5257.0,1873.0,0.26269284712482466
2023,OK,4,233.0,0.0,0.0
2023,OK,5,11051.0,7459.0,0.40297136682874124
2023,OK,6,196.0,291.0,0.5975359342915811
2023,OK,7,4164.0,3715.0,0.4715065363624826
2023,OK,8,32.0,34.0,0.5151515151515151
2023,OK,17,402.0,231.0,0.36492890995260663
2023,OK,18,1239.0,0.0,0.0
2023,OK,19,0.0,0.0,
2023,OK,20,692.0,12.0,0.017045454545454544
2023,OK,21,6112.0,1023.0,0.14337771548703573
2023,OR,2,1849.0,444.0,0.19363279546445705
